Q,A,label
약을 먹으면 증상에 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 먹으면 증상에 개선이 있을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 먹으면 기억력에 개선이 있을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO이 기억력을 되살려주나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO이 증상에 도움이 되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO이 기억력에 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 먹으면 기억력이 평소보다 좋아지나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 먹으면 증상이 좋아질까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
내가 처방받은 약은 OOOO 인데 먹으면 증상에 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
내가 처방받은 약은 OOOO 인데 먹으면 기억력이 좋아질까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
내가 처방받은 약은 OOOO 인데 이 약을 복용하면 증상에 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 복용하면 기억력에 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 복용하면 증상에 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 복용하면 증상에 개선이 있을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 복용하면 기억력에 개선이 있을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이  OOOO 인데 이 약을 복용시 기억력이 좋아질까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이  OOOO 인데 이 약을 복용시 증상이 도움이 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
지금 처방받고 있는 약이 어떤 효과를 지니는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
지금 처방받고 있는 약이 증상에 도움이 되는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
지금 처방받고 있는 약을 먹는다면 기억력에 도움이 되는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
지금 처방받고 있는 약을 얼마동안 먹어야지 기억력이 좋아지는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
지금 처방받고 있는 약을 얼마나 먹어야 기억력에 효과가 있는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
지금 처방받고 있는 약을 단기간 먹어도 기억력에 도움이 되는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이 OOOO 인데 이 약을 얼마동안 먹어야지 기억력이 좋아지는지 알려주세요. ,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이 OOOO 인데 이 약을 먹는다면 기억력에 도움이 되는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이 OOOO 인데 이 약을 먹는다면 기억력이 평소보다 좋아지는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이 OOOO 인데 이 약을 먹는다면 평소보다 기억력이 좋아질 수 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
얼마나 약을 먹어야지 기억력이 좋아질까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 먹는다면 기억력이 좋아지나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 얼마동안 먹어야지 기억력이 좋아질까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 먹는다면 기억력이 올라가나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 먹는다면 기억력이 지금보다 더 좋아질 수 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 먹는다면 기억력을 되살려주나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방받은 약이 OOOO 인데 이 약을 먹는다면 기억력을 되살려주나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 얼마동안 먹어야지 기억력에 도움이 되는지 알려주세요.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
OOOO 약을 먹는다면 기억력이 평소보다 좋아지나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
제가 먹는 약을 계속 복용한다면 기억력이 되살아 날 수 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
제가 먹는 약을 계속 복용한다면 기억력이 평소보다 좋아질 수 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
제가 먹는 약을 계속 먹는다면 기억력이 좋아지나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
제가 먹는 약을 계속 먹는다면 증상에 호전이 있을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
제가 먹는 약을 계속 먹는다면 기억력에 호전이 있을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
이 약을 먹으면 기억력 회복되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
이약이 기억력에 많은 도움이 되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
ㅇㅇㅇㅇ 약이 기억력 돌아오게 하나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력이 정상으로 돌아오려면 약을 먹으면 되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
이 약이 원래기억력으로 돌아오나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
어느 약이 기억력회복에 가장 좋은건가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력에 가장좋은약을 추천해주세요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 돌아오려면 언제까지 약먹으면 되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 100프로 회복되는거 맞는거죠?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo 약이 제일 효과가 좋은가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo 약이 기억력회복이 제일 잘 되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 많이 먹으면 기억력이 빨리 돌아오나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
처방 받은 oooo약을 먹어야 기억력 회복되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복하려면 oooo약이 가장 좋은 건가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약이 기억력 회복약으로 추천하나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약은 얼마나 효과가 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약이 100%회복되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약이랑 ooooo약중에 어느것이 기억력 회복에 좋은가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약을 먹으면 기억력 돌아오는거 맞죠?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약을 먹으면 빠른시간내 기억력이 돌아오나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
빨리 기억력 회복에 좋은 약을 추천해주세요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약이 얼마나 회복시키나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약은 빠른 회복되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약만 먹으면 회복되지 않을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약 먹어도 회복 안될수 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약 먹어도 회복 불가능인가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
모든 약이 회복이 힘든가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복할수 있는 가장 좋은 약이 없을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약은 기억력회복에 도움이 안되요 다른약 없나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약은 기억력회복 잘 안되는거 같아요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약 바꾸면 기억력 빠른 회복 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
도데체 어떤 약을 먹어야 회복될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
아무리 약을 먹어도 기억력이 돌아오지는 않는거 같습니다.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복되는 약으로 바꾸고 싶어요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약은 도움안되는거 같아요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
용량을 늘리면 회복될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복되려면 가장 좋은 약이 무엇인가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooO약이 아무 효과 없어요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
무슨약이 기억력회복에 도움될지 답답합니다.,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
이 약이 기억력 돌아오는 가장 좋은 약일까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복에 도움되는 약을 찾고 싶어요,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약은 왜 기억력 회복이 잘 안될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
약을 더 먹어야 기억력 회복이 되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
복용량 늘리면 빠른 회복 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복되려면 oooo약도 괜찮나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
oooo약말고 다른약으로 바꾸면 회복 될까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
어느약이 가장 기억력 회복에 효과가 있나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
어느 약을 먹어야 기억력에 좋을까요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
이 약은 기억력 최고인가요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복만 된다면 부작용도 감수 합니다,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
기억력 회복이 왜 안되나요?,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",0
