a,b
,조현병은 완치가능성이 있나요
,조현병은 약물치료가가능한가요
,조현병이 약불치료가 가능하다면 약에대한 부작용은 무엇인가요
,약을 먹으면 완벽하게 낳아요?
,약에 후유증은 있나요?
,약을 먹으면 죽을수도있나요?
,아픈 병인가요?
,약이 독한가요?
,하루에 몇번 먹나요?
,약물 치료를 한다고 병이 치료가 될까요?
,꼭 약을 먹어야 치료가 될까요?
,약을 먹지 않아도 다른 방법으로 치료가 가능 할까요?
,조현병의 후유증은 없을까요?
,조현병의 재발 가능성은 있을까요?
,조현병의 약 부작용으로는 어떤 사례가 있을까요?
,조현병의 약물치료는 안전한가요?
,조현병 치료는 안전한가요?
,조현병 치료는 어떻게 하나요?
,조현병 약을 먹으며 생기는 부작용은 존재하나요?
,조현병 약물치료의 원리는 무엇인가요?
,약을 먹지 않아도 완치가 가능한가요?
,조현병 약을 복용하면 괜찮아질까요?
,약은 꾸준히 먹어야 하나요?
,약을 꾸준히 복용하면 일상생활에 지장이 없나요?
,조현병 치료제를 복용하면 사회생활을 다시 잘 할 수 있나요?
,약을 먹으면 대화를 잘 할 수 있나요?
,조현병 걸렸던사람들은 모두 약먹고 나았나요?
답변,"현재까지 알려진 조현병의 치료 및 재발을 막는 가장 강력한 방법은 약물치료입니다. 또한 급격한 증상의 조절을 위해서 전기충격치료와 같은 치료법을 사용할 수 있으며, 치료가 잘 되지 않는 환청 및 음성증상에 반복 경두개자기자극술이 이용되고 있습니다. 한편, 약물치료에 잘 반응하지 않는 음성증상과 인지증상이 동반되어 정상적인 생활에 지장을 초래하는 경우에는 인지행동치료, 사회성 훈련 등의 심리사회적 치료를 병행하는 것이 권장됩니다."
유사질문,1. 약은 중독성이강하고 한번 먹으면 계속 먹어야 한다는데 다른 치료방법은 없습니까?
,2. 약물들에 중독성은 없나요?
,약물치료 외에 다른 방법이 있나요?
,조현병엔 어떤 치료방법이 있나요?
,약을 잘 못 먹는데 다른 방법은 없나요?
,약 말고 다른 치료방법은 없을까요?
,약을 먹지않으면 치료가 안될까요?
,약물의 중독성은 어느정도인가요
,약물의 중독성이 강하지 않나요?
,중독성이 없는 약물이 있나요?
,조현병 치료에 약만 먹으면 되나요?
,조현병 치료와 함께 병행할 수 있는 치료가 있나요?
,조현병 약물치료가 잘 되지 않는 환자에게는 어떤 치료를 하나요?
,약물치료 외에 민간요법등 대체 치료가 가능한가요?
,약 효능이 없는 경우도 있나요?
,약을 먹어도 호전되지 않으면 어떻게 해야 하나요?
,평소 먹는 약이 있는데 병행해서 먹어도 되는지 걱정됩니다.
,약물치료가 가장 효과적인건가요?
,약 부작용이 심할 경우 어떻게 대처해야 하나요?
,물리치료도 가능한가요?
,약은 도저히 못먹겠습니다 다른 방법 가능한가요?
,약물치료만 답인가요?
,약물 부작용이 두렵습니다.
,약을 못 먹으면 치료가 불가능인가요?
,대체 치료를 받고 싶습니다.
,약물 부작용이 자주 있는 체질이라 다른 방법을 선택하고 싶습니다. 가능한가요?
,약물 복용에 대한 부담이 많이 큽니다 다른 방법은 없나요?
,약물치료를 자주 권하는 이유가 무엇인가요?
,약을 꾸준히 먹는데도 증상이 갈수록 심해지는거 같습니다.
,약물치료가 효과 없으면 희망이 없는건가요?
,약을 먹으면 효과가 있긴 있나요?
,약 중독성이 심하면 어떻게 해야하나요?
,치료하는데 다른 방법은 없나요?
,꼭 약을 먹어야 하나요?
,약 외에 다른 방법은 없나요?
,약의 부작용은 없나요?
,약물치료 외 다른 치료는 없나요?
,약물치료말고 다른 방법은 없나요?
,약물 중독성이 강한가요?
,조현병 치료에 약 외에 다른 방법은 없나요?
,조현병 치료에 약과 함께 병행할 수 있는 치료가 있나요?
,조현병 약물치료 효과가 덜 한 사람은 어떻게 하나요?
,조현병 약물치료 효과가 덜 한 사람은 어떤 치료가 있나요?
,아이가 약을 잘 못 먹는데 다른 방법은 없나요?
,동생이 약을 잘 못 먹는데 다른 방법은 없나요?
,약을 먹는 방법밖에 없나요?
,약이 중독성이 강하다고 들었는데 다른 방법은 없나요?
,아이가 어려서 걱정입니다. 약에 중독성이 있나요?
,동생이 어려서 걱정입니다. 약에 중독성이 있나요?
,약에 중독성이 있다는 얘기를 들었는데 괜찮나요?
,약물치료만이 방법인가요?
,약물을 먹지 않고도 치료가 가능한가요?
,약물을 통해서 완치가 가능한가요?
,약물의 부작용은 없나요?
,조현병 치료 후에 부작용은 없나요?
,조현병은 완치가 가능한가요?
,완치 후 재발의 가능성이 있나요?
,약물치료가 아닌 다른 방법이 있나요?
,완치 후에는 정상적인 생활이 가능한가요?
,약물 치료 외의 방법으로 치료 시 부작용이 있나요?
,약물치료 외에 다른 치료 방법이 같이 진행되나요?
,약물치료는 어디에 도움이 되나요?
,약물치료를 진행하지 않을 수 있나요?
,약물치료만으로도 완치가 가능한가요?
,약물의 중독성이 있나요?
,중독성이 강하다고 들어서 부작용 걱정이 됩니다
,약물 외에 다른 방법으로 치료가 가능할까요?
,약물 말고 다른 방법의 치료를 원합니다
,약물이 최선의 방법일까요?
,약물 치료로만 치료가 가능할까요?
,조현병 치료에 가장 좋은 방법은 무엇인가요?
,조현병을 치료하는데 가장 효과적인 방법은 무엇인가요?
,음성증상도 약물치료를 받으면 되는 건가요?
,환청 증상도 약물치료로 나아질 수 있나요?
,환청 증상도 약물치료로 호전될 수 있나요?
,약물치료가 도움이 안되면 어떻게 하나요?
,약물치료가 효과가 없으면 어떻게 하나요?
,약물치료를 통해 나아지지 않으면 어떻게 하나요?
,약물치료가 효과가 없을 수도 있나요?
,모든 증상이 약물로 치료가 가능한가요?
,약으로도 나아지지 않으면 다른 방법이 있나요?
,조현병은 어떻게 고칠 수 있나요?
,약물 치료만 받으면 되나요?
,조현병 치료에 뭐뭐가 있나요?
,약물치료는 중독될까봐 무서워요.
,조현병 치료방법에는 무엇이 있나요?
,약물치료말고 다른 치료를 받아도 되나요?
,약 먹으면 다 괜찮아지나요?
,약물치료를 받고 싶지 않아요
,조현병 약을 먹고 싶지 않아요.
,조현병 약물 중독성이 무서운데 다른 치료 방법이 있나요?
,조현병 약이 독할까봐 무서운데 어떤 방법이 더 좋을까요?
,조현병약에 중독되면 어떻게 하죠?
,조현병 치료에는 어떤 것들이 있나요?
,조현병 치료에는 약물치료밖에 없나요?
,조현병 치료에 어떤 방법이 있나요?
,조현병 치료에 약만 먹으면 되는 건가요?
,어떤 치료를 받아야 효과가 좋은가요?
,조현병에 가장 효과적인 치료방법이 무엇인가요?
,조현병에 가장 빠르게 나아지는 치료방법이 무엇인가요?
,조현병에 어떤 방법을 사용해야 효과적으로 완치될 수 있을까요?
,조현병 약에 중독성이 있나요?
,조현병은 대부분 어떻게 치료하나요?
,조현병의 치료 방법이 궁금해요
,조현병의 지료에는 어떤 것들이 있나요?
,조현병 치료는 어떻게 진행되나요?
,조현병 치료에 꼭 약물치료가 동반되어야 하나요?
,조현병 치료에 약물치료말고 어떤 방법이 있나요?
,약물치료말고 다른 방법을 사용하여 치료할 수 있나요?
,조현병에 어떤 치료가 가장 효과적인가요?
, 약물에 대한 거부반응이 있는 사람이 있다면 어떻게 해야 하나요?
, 약물을 복용하지 못 하는 상황에 있는 사람은 어떻게 해야 하나요?
, 다른 약물들과 상호작용하지는 않나요?
, 약물에 대한 거부반응이 있는 사람이 있다면 어떻게 해야 하나요?
, 약물을 복용하지 못 하는 상황에 있는 사람은 어떻게 해야 하나요?
, 다른 약물들과 상호작용하지는 않나요?
,조현병 약성분을 알 수 있을까요?
,조현병 치료하는 데 약만 먹어도 될까요?
,약에는 어떠한 부작용이 있나요?
,약물의 중독성이 있나요?
,약의 중독성이 강한가요?
,다른 치료방법은 없나요?
,조현병 치료의 약 말고 다른 방법은 없나요?
,약의 중독성이 없나요?
,환자가 약물치료를 거부한다면 어떻게 되나요
,조현병 치료약물의 명칭은 뭔가요
,조현병 약물치료가 잘 되지 않는 환자에게는 어떤 특징이 있나요
,약을 먹는것 외에 조현병을 치료할 수 있는 방법은 없을까요?
,약물을 제외한 조현병 치료법은 없을까요?
,조현병 약물에 중독성이 있나요?
,약을 잘 못 먹는 편인데 복용 해도 될까요?
,대부분에 약에 중독성이 있나요?
,약물의 성분중에 중독성이 없는 약물이 있을까요?
,약만 먹으면 되나요?
,약 말고 다른 방법은 없나요?
,약에 중독성은 어느 정도인가요?
,약물의 위험도는 어느정도인가요
,약물이 가지고있는성분은 무엇인가요
,약물의 효능은 어떤가요
,약물치료말고 다른치료는 없나요
,약 때문에 위험해지나요?
,약과 주사를 하면 완벽하게완치되나요?
,약은 몇 개나 먹어야 하나요?
,약은 어디서 구할 수 있나요?
,일반약구에서 조현병약을 파나요?
,약을 먹지 않고도 치료가 가능 할까요?
,가장 강력한 치료 방법이 뭘까요?
,조현병 치료를 할 때 약을 먹어야 하는 이유가 뭔가요?
,약의 비용은 어떻게 되나요
,약은 알약인가요?
,약물의 효과는 확실한가요
,약물 중독의 위험성은 없을까요?
,약물 중독이 되진 않을까요?
,약물치료 말고는 치료법이 없나요?
,조현병 환자에게 약물치료가 강제되나요?
,다른 치료 방식의 부작용은 어떤가요?
,약물치료는 안전한가요?
,약을 먹는 것 외에 다른 방법도 있나요?
,약물치료가 잘 되지 않으면 다른  방법도 있는지 궁금합니다.
,약물치료를 하면 중독성이 강한가요?
,조현병 치료는 보통 어떤 방식으로 하나요?
,치료한뒤에 재발할수있나요?
답변,"현재까지 알려진 조현병의 치료 및 재발을 막는 가장 강력한 방법은 약물치료입니다. 환청, 망상 등의 양성증상은 대체로 항정신병 약물에 반응을 잘합니다. 따라서 빠른 증상의 호전 및 기능회복을 위해서는 약물치료가 우선되어야 하며, 추가적으로 명상 및 면담치료도 병행하는 것이 도움이 됩니다. 또한 사회적응을 위한 사회기술훈련 및 심리상담, 인지치료 등도 도움이 됩니다."
유사질문,"1. 꼭 약을 먹어야 하나요? 스트레스(군대, 새로운직장, 관계에서 왕따 등) 때문에 병이 생긴 것 같은데 마음의 스트레스를 좀 풀어주고 얘기를 충분히 들어주면 나아질 것 같아요. 명상이나 면담치료만 하면 안될까요?"
,2. 약물들에 중독성은 없나요?
,3. 약물치료와 병행하면 좋은 치료법은 무엇이 있나요?
,조현병을 치료하는 가장 빠른 방법이 뭔가요?
,약 없이 다른 치료방법이 있나요?
,약을 먹지않고 다른 치료방법은 없을까요?
,약을 먹지않으면 치료에 지장이 있을까요?
,약을 먹지 않는 치료법은 없나요?
,약물을 먹는 다는게 조금 꺼려져요
,스트레스 때문에 그런거 같은데 면담치료만 하면 안되나요?
,약물 치료와 병행해야 하는 치료법이 있나요?
,조현병 치료는 약물치료가 최선인가요?
,조현병 치료에 심리상담이 도움이 되나요?
,환청 망상등의 증상이 있을때 약물치료가 좋나요?
,약물치료와 심리치료 병행하면 좋은가요?
,스트레스성 인거 같은데 약이 필요한가요?
,약물치료는 진짜 싫습니다 인긴관계 스트레스 때문인데 심리상담이 더 낫지 않나요?
,스트레스만 해결되면 호전 될거 같습니다. 약물 말고 다른 방법 가능한가요?
,꼭 약을 먹어야 하는 이유가 있나요?
,약 먹으면 사회생활에 아무 문제 없나요?
,약만 답인가요?
,스트레스 원인인데도 약이 필요한가요?
,약물치료만으로는 부족 하지 않나요?
,약 때문에 치료 받기가 꺼려집니다. 다른방법 없나요?
,약효가 잘 받는 유형이 있나요?
,약물치료는 신중히 진행하고 싶습니다.
,증상이 심하면 약물치료가 최선인가요?
,약물치료 보다는 인지치료를 원합니다.
,약물 중독이 두렵습니다.
,약물치료보다는 스트레스를 먼저 해소하는게 중요합니다.
,약물치료만으로도 충분하나요?
,가장효과적인 치료방법은 무엇인가요?
,환청 등의 증상은 꼭 약물 치료만 해야하나요?
,빠른 호전을 위해서는 어떤 치료가 가장 중요한가요?
,약물치료를 추천하는 유형은 어떤 유형인가요?
,약에 대해 두려움이 있습니다. 다른 방법은 없나요?
,약물치료 말고 다른 치료법도 있나요?
,사회기술훈련을 병행하는 것도 효과가 있나요?
,사회기술훈련을 병형하면 효과가 있다는 얘기를 들었는데 괜찮은가요?
,인지치료를 같이 병행하는 것도 효과가 있나요?
,인지치료를 같이 하면 좋다던데 사실인가요?
,인지치료를 같이 하면 효과가 좋다던데 사실인가요?
,사회기술훈련을 같이 하면 효과가 좋다던데 사실인가요?
,명상이 도움된다던데 같이 병행해도 되나요?
,면담치료가 도움된다던데 같이 병행해도 되나요?
,명상이 효과가 있다는 얘기를 들었는데 도움이 될까요?
,면담치료가 효과가 있다는 얘기를 들었는데 도움이 될까요?
,약물치료 말고 다른 방법은 없나요?
,약물치료 말고 다른 치료 방법은 없나요?
,약물에 중독성이 있을까 걱정입니다.
,아이가 어려서 면담치료만 하면 안되나요?
,동생이 어려서 면담치료만 하면 안되나요?
,아이가 스트레스를 받을까봐 면담치료만 하면 안되나요?
,동생이 스트레스를 받을까봐 걱정입니다. 면담치료만 하면 안되나요?
,약물에 중독성이 있을거 같아 조금 꺼려져요
,중독성이 걱정되어 조금 두렵습니다.
,약물치료 외에 다른 치료 방법이 같이 진행되나요?
,약물치료는 어디에 도움이 되나요?
,약물치료를 진행하지 않을 수 있나요?
,약물치료만으로도 완치가 가능한가요?
,약물을 먹지 않고도 치료가 가능한가요?
,약물을 통해서 완치가 가능한가요?
,약물의 부작용은 없나요?
,조현병 치료 후에 부작용은 없나요?
,조현병은 완치가 가능한가요?
,완치 후 재발의 가능성이 있나요?
,약물치료가 아닌 다른 방법이 있나요?
,완치 후에는 정상적인 생활이 가능한가요?
,약물 치료 외의 방법으로 치료 시 부작용이 있나요?
,약물 치료 말고 상담으로는 치료가 가능할까요?
,약물 중독은 되지 않나요?
,약물과 다른 치료도 같이 병행할까요?
,약물 말고 다른 치료를 병행하면 어떤 치료를 받으면 좋을까요?
,약물 말고도 다른 치료를 받을 수 있을까요?
,심리 상담도 같이 받고 싶습니다
,심리 상담만 받아도 될까요?
,약물만으로도 치료가 되지 않으면 어떤걸 병행하면 좋을까요?
,조현병 치료에 가장 효과적인 방법이 뭔가요?
,조현병을 치료하는 가장 좋은 방법이 무엇인가요?
,조현병 치료에 가장 확실한 방법은 뭔가요?
,꼭 약을 먹어야 되나요?
,꼭 약물치료를 받아야 되나요?
,조현병 치료에 약은 필수인가요?
,약은 안 먹고 다른 치료를 받으면 안되나요?
,약물치료 외의 치료만 받고 싶어요.
,스트레스 때문에 그런거 같은데 약 말고 다른 치료만 받으면 안되나요?
,조현병은 약물치료만 받는 건가요?
,조현병은 약으로만 고칠 수 있나요?
,약 말고 심리상담만 받고 싶어요
,조현병으로 사회적응이 힘든데 어떤게 도움이 되나요?
,조현병으로 사회에 적응하기 힘들면 따로 치료가 있나요?
,조현병 빠르게 고치는 방법에는 뭐가 있나요?
,조현병을 빠르게 고칠 수 있는 방법이 있나요?
,조현병 치료에 병행하면 좋은 치료가 따로 있나요?
,상담같은 심리치료만으로도 조현병이 치료가 되나요?
,약보다 효과적인 조현병 치료방법은 없나요?
,환청 망상등의 증상이 있는데 약물 치료를 꼭 받아야 되나요?
,약물 치료밖에 답이 없나요?
,약물 치료시 부작용이 걱정됩니다.
,복용약의 부작용이 걱정됩니다.
,조현병 약의 부작용이 걱정됩니다.
,약물 중독성 때문에 다른 치료들과 병행하고 싶습니다.
,빠르게 치료하려면 어떤 치료들을 해야하나요?
,빠르고 효과적으로 치료하려면 어떤 치료 방법을 선택해야 하나요?
,약물치료랑 다른 치료를 병행하는게 더 도움이 될까요?
,약물치료랑 다른 치료방법을 같이 진행할 수 있나요?
,약물치료랑 다른 치료을 같이 진행해봐도 될까요?
,심리치료도 도움이 되나요?
,약물 치료외에 도움이 되는 치료에는 어떤 것들이 잇나요?
,약물 치료 외에 다른 방법을 알고싶어요
,빠른 완치를 원하면 어떤 치료들이 병행이 되어야 하나요?
,약물치료는 무서워서 다른 효과적인 치료방법들을 알고 싶어요
,조현병 치료 방법들에는 어떤 방법들이 있는 지 궁금해요
,조현병 치료에 약물이 도움이 되나요?
,조현병에 약물치료가 도움이 되나요?
,조현병이 약물치료를 해야하는 병인가요?
,조현병 치료에 약물 치료가 효과가 있나요?
,조현병에 약물치료가 효과가 있나요?
,망상이 심한 환자에게 어떤 치료가 효과가 있나요?
,환청이 심한 환자에게 어떤 치료가 효과가 있나요?
,망상이 심한 조현병 환자에게 어떤 치료가 효과가 있나요?
,환청이 심한 조현병 환자에게 어떤 치료가 효과가 있나요?
,증상이 심한 환자에게 가장 효과가 좋은 치료는 어떤 건가요?
, 약물치료를 하면서 얻는 불이익이 있나요?
, 약물치료가 아닌 다른 치료는 효과가 없나요?
, 무조건 약물치료밖에 치료방법이 없나요?
, 약물치료를 하면서 얻는 불이익이 있나요?
, 약물치료가 아닌 다른 치료는 효과가 없나요?
, 무조건 약물치료밖에 치료방법이 없나요?
,꼭 약을 먹어야하나요
,약물 치료가 부담스러워요
,약으로 치료 된다는 보장이 있나요
,조현병 치료와 병행하면 좋은 치료법은 무엇인가요?
,약을 먹는 것이 꺼려지는데 다른 치료법은 없나요?
,약 말고 다른 치료 방법은 없나요?
,같이 하면 좋은 치료법은 무엇인가요?
,면담치료를 같이 하면 치료에 도움이 되나요?
,심리상담은 어떤식으로 진행되나요
,약물 치료와 병행해야 하는 치료법이 몇가지인가요
,조현병 증상에는 어떤것이 있나요
,조현병을 치료하기 위해서 무조건 약을 복용해야 하나요??
,조현병 약물에 중독성이 심각한가요? 
,약물치료 외에 병행했을때 좋은 치료법이 있나요?
,중독성이 심하면 또 다른 병에 걸릴 수 도 있나요?
,약을 먹고 스트레스가 심해질 수 있나요?
,따로 약을 먹지 않고도 병을 치료 할 수 있을까요?
,정신적인 치료가 가능한가요
,약물의 부작요은 무엇인가요
,약물이 위험한가요
,약이 맞지않으면 어떻하나요?
,약말고 다른방법으로 치료하는법은 뭔가요?
,조현병은 약물치료말고 다른방법은없나요?
,환청이 있을 때 약을 먹는게 효과가 있나요?
,조현병에 걸리면 사람들과 대화가 불편한가요?
,조현병에 걸리면 다른 증상들이 걸리지 않나요?
,조현병의 재발을 막는 방법은 뭔가요?
,조현병 치료를 할때 약물치료말고 다른 방법이 있나요?
,조현병을 빠르게 회복하는 방법이 뭔가요?
,약물로 인해 유해한점은 없나요?
,약물치료는 얼마나 해야하나요
,투약 주기는 얼마나 되나요
,약물말고 다른 방법은 없을까요?
,심리상담만으로는 치료할 수 없을까요?
,심리상담으로는 치료하기 힘들까요?
,약을 복용하며 부작용이 생기면 어떡하죠?
,선천적으로 약이 몸에 받지 않으면 어떻게 해야하나요?
,현재 약을 먹을 수 없는 상태라면 어떻게 해야하나요?
,조현병 치료 중 가장 효과있는 방법은 무엇인가요?
,심리상담으로 치료만 하는 것도 괜찮을까요?
,사회적응을 위해 필요한 치료는 또 무엇이 있나요?
,치료중 오히려 악화의 가능성은 없나요?
답변,장기지속형 주사제는 경구약과 성분은 동일합니다. 그러나 환자들이 여러 가지 이유로 약물을 규칙적으로 복용하지 못하고 있기 때문에 이를 극복하기 위해 개발된 제형입니다. 따라서 약물 순응도가 낮은 환자들에게는 증상의 개선 및 재발방지에 도움이 될 수 있습니다.
유사질문,1. 조현병치료약보다 장기지속형 주사제가 더 효과가 좋습니까?
,먹는 약과 주사는 어떤 점이 다른가요?
,먹는 약 대신 주사는 어떤가요?
,조현병치료약과 장기지속형 주사제의 차이는 무엇인가요?
,장기지속형 주사제와 조현병 치료약 중 어느것이 복용하기 더 쉬울까요?
,주사로 맞는 치료약도 있다던데 그 방식이 더 효과가 좋나요?
,장기지속형 주사제가 뭔가요?
,장기지속형 주사제가 조현병에 도움이 되나요?
,약 대신 주사만 맞아도 되나요?
,약과 주사는 같은건가요?
,어떤 사람들에게 약보다 주사가 더 나은가요?
,주사는 꼭 필요한가요?
,주사를 맞는 이유는 무엇인가요?
,주사만 맞아도 정상적인 사회생활가능한가요?
,주사는 약보다 효과가 약하나요?
,주사보다는 약이 더 좋은 건가요?
,약 말고는 방법이 있나요?
,약물 치료 말고 주사도 있나요?
,주사가 약보다 나은 것이 어떤건가요?
,약 vs 주사 어떤것을 추천하나요?
,주사의 성분은 어떤건가요?
,주사가 약보다 장점이 있나요?
,약물에 대한 부작용 걱정이 되는데 주사같은 거도 대체 할수 있나요?
,주사에대한 효능이 의심됩니다.
,약물에 대한 거부감이 있는데 어떻게 치료해야하나요?
,주사에 대한 부작용이 걱정됩니다. 약물 부작용과 차이가 있나요?
,약물 치료랑 주사랑 꼭 병행해야하나요?
,약물 치료 잘되고 있으면 주사는 필요없나요?
,장기지속형 주사제를 맞으면 약물 치료는 안해도 되나요?
,장기지속형 주사제가 있는 이유가 무엇인가요?
